# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DCLRE1C	ENSG00000152457	ENST00000357717	protein_coding	1	9	16	32	4	0	1	0	0	21	16	0	0	0	0	0	4	1	0	0	5	7
DCLRE1C	ENSG00000152457	ENST00000378241	protein_coding	1	0	2	23	0	0	2	2	0	13	2	0	0	0	1	0	0	0	0	0	0	7
DCLRE1C	ENSG00000152457	ENST00000378242	protein_coding	1	2	9	17	1	0	3	3	0	5	9	0	0	0	0	0	0	1	0	0	2	5
DCLRE1C	ENSG00000152457	ENST00000378246	protein_coding	2	6	16	31	4	0	1	0	0	21	16	0	0	0	1	0	1	1	0	0	5	7
DCLRE1C	ENSG00000152457	ENST00000378249	protein_coding	2	6	16	31	1	0	1	3	0	21	16	0	0	0	1	0	1	1	0	0	5	7
DCLRE1C	ENSG00000152457	ENST00000378254	protein_coding	2	6	15	32	1	0	2	3	0	21	15	0	0	0	1	0	1	1	0	0	5	7
DCLRE1C	ENSG00000152457	ENST00000378255	protein_coding	2	6	15	32	1	0	2	3	0	21	15	0	0	0	1	0	1	1	0	0	5	7
DCLRE1C	ENSG00000152457	ENST00000378258	protein_coding	2	6	15	32	1	0	2	3	0	21	15	0	0	0	1	0	1	1	0	0	5	7
DCLRE1C	ENSG00000152457	ENST00000378278	protein_coding	2	7	16	30	1	0	0	3	0	21	16	0	0	0	1	0	1	1	0	0	6	7
DCLRE1C	ENSG00000152457	ENST00000378289	protein_coding	1	6	9	39	0	0	3	0	0	34	9	0	0	0	1	0	1	0	0	0	5	4
DCLRE1C	ENSG00000152457	ENST00000396817	protein_coding	2	6	15	32	1	0	2	3	0	21	15	0	0	0	1	0	1	1	0	0	5	7
DCLRE1C	ENSG00000152457	ENST00000418843	protein_coding	1	2	2	27	0	0	2	6	0	13	2	0	0	0	1	0	0	0	0	0	2	7
DCLRE1C	ENSG00000152457	ENST00000453695	protein_coding	2	6	15	32	4	0	2	0	0	21	15	0	0	0	1	0	1	1	0	0	5	7
DCLRE1C	ENSG00000152457	ENST00000456122	protein_coding	1	0	2	23	0	0	1	6	0	10	2	0	0	0	1	0	0	0	0	0	0	7
DCLRE1C	ENSG00000152457	ENST00000489161	processed_transcript	0	1	0	12	0	0	0	4	0	4	0	2	0	0	0	0	1	0	0	0	0	3
DCLRE1C	ENSG00000152457	ENST00000489845	processed_transcript	0	0	0	16	0	0	0	11	0	3	0	2	0	0	0	0	0	0	0	0	0	0
DCLRE1C	ENSG00000152457	ENST00000492201	processed_transcript	0	1	0	28	0	0	0	9	0	8	0	12	0	0	0	0	1	0	0	0	0	0
DCLRE1CP1	ENSG00000237470	ENST00000378211	unprocessed_pseudogene	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
DCLRE1CP1	ENSG00000237470	ENST00000454630	unprocessed_pseudogene	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
DGCR5	ENSG00000237517	ENST00000399539	antisense	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
DGCR5	ENSG00000237517	ENST00000421572	antisense	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
DGCR5	ENSG00000237517	ENST00000438934	antisense	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
DGCR5	ENSG00000237517	ENST00000440005	antisense	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
DGCR6	ENSG00000183628	ENST00000331444	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DGCR6	ENSG00000183628	ENST00000413981	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DGCR6	ENSG00000183628	ENST00000427407	nonsense_mediated_decay	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DGCR6	ENSG00000183628	ENST00000477156	retained_intron	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DGCR6	ENSG00000183628	ENST00000480608	nonsense_mediated_decay	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DGCR6	ENSG00000183628	ENST00000483718	nonsense_mediated_decay	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DGCR6	ENSG00000183628	ENST00000608842	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DGCR6L	ENSG00000128185	ENST00000248879	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
DGCR6L	ENSG00000128185	ENST00000405465	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
DGCR6L	ENSG00000128185	ENST00000443409	nonsense_mediated_decay	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
DKC1	ENSG00000130826	ENST00000369550	protein_coding	0	4	5	28	0	0	2	0	0	18	5	0	0	2	0	0	0	0	0	0	2	8
DKC1	ENSG00000130826	ENST00000412124	nonsense_mediated_decay	0	0	1	33	2	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	13
DKC1	ENSG00000130826	ENST00000413910	protein_coding	0	2	3	27	0	0	2	9	0	8	3	0	0	0	0	0	0	0	0	0	2	8
DKC1	ENSG00000130826	ENST00000426673	nonsense_mediated_decay	0	1	3	25	0	0	0	1	0	14	3	0	0	0	0	0	0	0	0	0	1	10
DKC1	ENSG00000130826	ENST00000437719	protein_coding	0	1	2	28	0	0	0	14	0	4	2	0	0	0	0	0	0	0	0	0	1	10
DKC1	ENSG00000130826	ENST00000452771	nonsense_mediated_decay	0	1	1	30	1	0	0	11	0	8	1	0	0	0	0	0	0	0	0	0	1	10
DKC1	ENSG00000130826	ENST00000473552	processed_transcript	0	0	0	24	0	0	0	10	0	2	0	4	0	0	0	0	0	0	0	0	0	8
DKC1	ENSG00000130826	ENST00000475423	retained_intron	0	0	0	24	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	0	0	8
DKC1	ENSG00000130826	ENST00000475966	processed_transcript	0	0	0	25	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	10
DKC1	ENSG00000130826	ENST00000481062	retained_intron	0	0	0	18	0	0	0	1	0	8	0	2	0	0	0	0	0	0	0	0	0	7
DKC1	ENSG00000130826	ENST00000484317	retained_intron	0	0	0	25	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0	0	0	7
DKC1	ENSG00000130826	ENST00000492372	processed_transcript	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10
DOCK2	ENSG00000134516	ENST00000256935	protein_coding	8	195	23	112	4	0	0	0	0	111	23	0	4	164	0	0	15	4	0	0	20	8
DOCK2	ENSG00000134516	ENST00000433448	nonsense_mediated_decay	1	0	0	21	1	0	0	12	0	8	0	0	0	0	0	0	0	1	0	0	0	0
DOCK2	ENSG00000134516	ENST00000518056	retained_intron	0	0	0	13	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	8
DOCK2	ENSG00000134516	ENST00000519223	retained_intron	0	1	0	14	0	0	0	0	0	9	0	4	0	0	0	0	1	0	0	0	0	2
DOCK2	ENSG00000134516	ENST00000519628	protein_coding	1	5	1	2	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	5	0
DOCK2	ENSG00000134516	ENST00000519734	processed_transcript	0	2	0	13	0	0	0	8	0	6	0	1	0	0	0	0	2	0	0	0	0	0
DOCK2	ENSG00000134516	ENST00000519868	retained_intron	0	0	0	22	0	0	0	0	0	3	0	19	0	0	0	0	0	0	0	0	0	0
DOCK2	ENSG00000134516	ENST00000520181	processed_transcript	0	1	0	11	0	0	0	0	0	5	0	7	0	0	0	0	1	0	0	0	0	0
DOCK2	ENSG00000134516	ENST00000520450	retained_intron	0	3	0	38	0	0	0	0	0	16	0	21	0	0	0	0	3	0	0	0	0	4
DOCK2	ENSG00000134516	ENST00000520836	processed_transcript	0	1	0	19	0	0	0	0	0	7	0	7	0	0	0	0	1	0	0	0	0	6
DOCK2	ENSG00000134516	ENST00000520908	protein_coding	4	23	15	80	4	0	0	0	0	72	15	0	0	0	0	0	10	4	0	0	15	12
DOCK2	ENSG00000134516	ENST00000522138	processed_transcript	0	3	0	38	0	0	0	17	0	12	0	4	0	0	0	0	3	0	0	0	0	8
DOCK2	ENSG00000134516	ENST00000522994	processed_transcript	0	1	0	10	0	0	0	0	0	10	0	1	0	0	0	0	1	0	0	0	0	0
DOCK2	ENSG00000134516	ENST00000523351	processed_transcript	0	10	0	88	0	0	0	0	0	63	0	35	0	0	0	0	10	0	0	0	0	0
DOCK2	ENSG00000134516	ENST00000523684	processed_transcript	0	2	0	13	0	0	0	0	0	11	0	4	0	0	0	0	2	0	0	0	0	0
DOCK2	ENSG00000134516	ENST00000524185	nonsense_mediated_decay	1	24	11	135	23	0	0	4	0	111	11	0	0	0	0	0	15	1	0	0	12	8
DOCK2	ENSG00000134516	ENST00000540750	protein_coding	3	20	12	90	4	2	10	0	0	72	12	0	0	0	0	0	10	3	0	0	9	12
DOCK8	ENSG00000107099	ENST00000382329	protein_coding	2	17	15	81	7	0	0	0	0	78	15	0	0	0	0	0	5	2	0	0	13	0
DOCK8	ENSG00000107099	ENST00000382331	protein_coding	1	0	3	37	0	0	2	9	0	26	3	0	0	0	0	0	0	1	0	0	0	0
DOCK8	ENSG00000107099	ENST00000382341	retained_intron	0	2	0	42	0	0	0	0	0	25	0	16	0	0	0	0	2	0	0	0	0	3
DOCK8	ENSG00000107099	ENST00000432829	protein_coding	2	22	23	115	7	0	1	0	0	109	23	0	0	0	0	0	7	2	0	0	17	3
DOCK8	ENSG00000107099	ENST00000453981	protein_coding	2	22	24	114	7	0	0	0	0	109	24	0	0	0	0	0	7	2	0	0	17	3
DOCK8	ENSG00000107099	ENST00000454469	retained_intron	0	2	0	45	0	0	0	0	0	31	0	13	0	0	0	0	2	0	0	0	0	3
DOCK8	ENSG00000107099	ENST00000462618	processed_transcript	0	0	0	13	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0
DOCK8	ENSG00000107099	ENST00000469197	nonsense_mediated_decay	0	0	0	19	2	0	0	3	0	11	0	0	0	0	0	0	0	0	0	0	0	3
DOCK8	ENSG00000107099	ENST00000469391	protein_coding	1	64	21	115	7	1	4	0	0	106	21	0	0	41	0	0	7	1	0	0	17	3
DOCK8	ENSG00000107099	ENST00000474772	processed_transcript	0	2	0	5	0	0	0	2	0	2	0	3	0	0	0	0	2	0	0	0	0	0
DOCK8	ENSG00000107099	ENST00000478380	retained_intron	0	0	0	23	0	0	0	2	0	8	0	10	0	0	0	0	0	0	0	0	0	3
DOCK8	ENSG00000107099	ENST00000479404	protein_coding	0	1	0	18	0	0	1	1	0	13	0	0	0	0	0	0	0	0	0	0	1	3
DOCK8	ENSG00000107099	ENST00000483757	nonsense_mediated_decay	0	7	8	52	3	1	4	6	0	38	8	0	0	0	0	0	3	0	0	0	4	3
DOCK8	ENSG00000107099	ENST00000487230	protein_coding	0	2	0	15	0	1	4	0	0	8	0	0	0	0	0	0	0	0	0	0	1	3
DOCK8	ENSG00000107099	ENST00000493666	processed_transcript	0	0	0	19	0	0	0	6	0	3	0	5	0	0	0	0	0	0	0	0	0	5
DOCK8	ENSG00000107099	ENST00000495184	retained_intron	0	7	0	152	0	0	0	0	0	102	0	52	0	0	0	0	7	0	0	0	0	5
DOCK8	ENSG00000107099	ENST00000524396	nonsense_mediated_decay	0	2	0	46	13	0	0	0	0	31	0	0	0	0	0	0	2	0	0	0	0	3
FAM196B	ENSG00000204767	ENST00000377365	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
FAM196B	ENSG00000204767	ENST00000523970	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
FAM230C	ENSG00000206142	ENST00000416615	lincRNA	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
FAM230C	ENSG00000206142	ENST00000436681	lincRNA	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
FAM230C	ENSG00000206142	ENST00000447720	lincRNA	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
FOXN1	ENSG00000109101	ENST00000226247	protein_coding	0	6	8	27	1	0	0	0	0	16	8	0	0	0	0	0	1	0	0	0	5	11
FOXN1	ENSG00000109101	ENST00000577936	protein_coding	0	1	3	22	0	0	0	9	0	13	3	0	0	0	0	0	0	0	0	0	1	0
FOXN1	ENSG00000109101	ENST00000579795	protein_coding	0	11	8	27	0	0	0	1	0	27	8	0	0	5	0	0	1	0	0	0	5	0
FOXO4	ENSG00000184481	ENST00000374259	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA2	ENSG00000179348	ENST00000341105	protein_coding	0	5	5	25	5	0	0	0	0	11	5	0	0	0	0	0	1	0	0	0	4	10
GATA2	ENSG00000179348	ENST00000430265	protein_coding	0	6	5	15	5	1	4	0	0	7	5	0	0	0	0	0	1	0	0	0	4	0
GATA2	ENSG00000179348	ENST00000487848	protein_coding	0	7	5	17	0	1	4	5	0	7	5	0	0	1	0	0	1	0	0	0	4	2
GATA2	ENSG00000179348	ENST00000489987	processed_transcript	0	0	0	21	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	8
GATA2	ENSG00000179348	ENST00000492608	protein_coding	0	0	2	25	0	0	0	11	0	4	2	0	0	0	0	0	0	0	0	0	0	10
GATA2	ENSG00000179348	ENST00000498200	protein_coding	0	0	0	22	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	0	0	10
GNB1L	ENSG00000185838	ENST00000329517	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIC2	ENSG00000169635	ENST00000407464	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
HIC2	ENSG00000169635	ENST00000407598	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
HIC2	ENSG00000169635	ENST00000443632	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
IGHM	ENSG00000211899	ENST00000390559	IG_C_gene	1	5	6	6	0	0	0	0	0	4	6	0	0	0	0	0	0	1	0	0	5	2
IL2RG	ENSG00000147168	ENST00000276110	retained_intron	0	0	0	17	0	0	0	0	0	6	0	10	0	0	0	0	0	0	0	0	0	1
IL2RG	ENSG00000147168	ENST00000374188	protein_coding	0	1	0	16	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	12
IL2RG	ENSG00000147168	ENST00000374202	protein_coding	0	33	4	10	0	0	1	0	0	9	4	0	0	30	0	0	0	0	0	0	3	0
IL2RG	ENSG00000147168	ENST00000456850	protein_coding	0	4	0	16	0	0	0	0	0	15	0	0	0	3	0	0	0	0	0	0	1	1
IL2RG	ENSG00000147168	ENST00000464642	protein_coding	0	2	4	11	0	0	0	3	0	8	4	0	0	0	0	0	0	0	0	0	2	0
IL2RG	ENSG00000147168	ENST00000473378	protein_coding	0	0	2	15	0	0	0	10	0	4	2	0	0	0	0	0	0	0	0	0	0	1
IL2RG	ENSG00000147168	ENST00000482750	protein_coding	0	0	0	17	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11
IL2RG	ENSG00000147168	ENST00000487883	protein_coding	0	2	5	10	0	0	3	6	0	1	5	0	0	0	0	0	0	0	0	0	2	0
IL2RG	ENSG00000147168	ENST00000512747	retained_intron	0	0	0	17	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0
IL7R	ENSG00000168685	ENST00000303115	protein_coding	0	2	5	32	0	0	0	0	0	27	5	0	0	0	0	0	0	0	0	0	2	5
IL7R	ENSG00000168685	ENST00000343305	protein_coding	0	1	3	35	0	0	0	0	0	30	3	0	0	0	0	0	0	0	0	0	1	5
IL7R	ENSG00000168685	ENST00000505093	protein_coding	0	0	0	18	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	2
IL7R	ENSG00000168685	ENST00000505875	protein_coding	0	1	0	17	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	14
IL7R	ENSG00000168685	ENST00000506850	protein_coding	0	1	3	35	1	0	0	2	0	27	3	0	0	0	0	0	0	0	0	0	1	5
IL7R	ENSG00000168685	ENST00000508941	protein_coding	0	0	1	16	0	0	1	4	0	11	1	0	0	0	0	0	0	0	0	0	0	0
IL7R	ENSG00000168685	ENST00000509668	retained_intron	0	0	0	18	0	0	0	3	0	10	0	3	0	0	0	0	0	0	0	0	0	2
IL7R	ENSG00000168685	ENST00000511031	processed_transcript	0	0	0	23	0	0	0	6	0	16	0	1	0	0	0	0	0	0	0	0	0	0
IL7R	ENSG00000168685	ENST00000511982	protein_coding	1	1	3	18	1	0	0	2	0	10	3	0	0	0	0	0	0	1	0	0	1	5
IL7R	ENSG00000168685	ENST00000514217	nonsense_mediated_decay	0	1	3	35	0	0	0	0	0	30	3	0	0	0	0	0	0	0	0	0	1	5
IL7R	ENSG00000168685	ENST00000515665	protein_coding	0	0	1	16	0	0	1	4	0	7	1	0	0	0	0	0	0	0	0	0	0	4
JAK3	ENSG00000105639	ENST00000458235	protein_coding	18	16	14	57	2	0	0	0	1	51	14	0	16	0	0	0	6	1	0	0	11	9
JAK3	ENSG00000105639	ENST00000526008	processed_transcript	0	0	0	65	0	0	0	24	0	23	0	9	0	0	0	0	0	0	0	0	0	9
JAK3	ENSG00000105639	ENST00000527031	retained_intron	0	2	0	87	0	0	0	0	0	69	0	11	0	0	0	0	2	0	0	0	0	9
JAK3	ENSG00000105639	ENST00000527670	protein_coding	18	101	14	57	2	0	0	0	1	50	14	0	16	85	0	0	6	1	0	0	11	10
JAK3	ENSG00000105639	ENST00000528293	retained_intron	0	0	0	47	0	0	0	30	0	4	0	4	0	0	0	0	0	0	0	0	0	9
JAK3	ENSG00000105639	ENST00000528705	retained_intron	0	0	0	56	0	0	0	30	0	14	0	4	0	0	0	0	0	0	0	0	0	8
JAK3	ENSG00000105639	ENST00000534444	protein_coding	3	79	12	61	0	0	0	7	1	49	12	0	1	65	0	0	5	1	0	0	10	9
KB-1592A4.15	ENSG00000197210	ENST00000420508	lincRNA	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIG4	ENSG00000174405	ENST00000356922	protein_coding	10	3	14	14	3	0	3	0	0	0	14	0	9	0	0	0	0	1	0	0	3	8
LIG4	ENSG00000174405	ENST00000405925	protein_coding	10	4	14	14	3	1	3	0	0	3	14	0	9	0	0	0	0	1	0	0	3	5
LIG4	ENSG00000174405	ENST00000442234	protein_coding	10	22	14	14	3	0	1	0	0	2	14	0	9	19	0	0	0	1	0	0	3	8
LINC00892	ENSG00000233093	ENST00000427517	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00892	ENSG00000233093	ENST00000429841	antisense	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00892	ENSG00000233093	ENST00000454385	antisense	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM4	ENSG00000104738	ENST00000262105	protein_coding	0	0	1	19	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	18
MCM4	ENSG00000104738	ENST00000518221	protein_coding	0	1	1	19	0	0	7	0	0	7	1	0	0	0	0	0	1	0	0	0	0	5
MCM4	ENSG00000104738	ENST00000519138	retained_intron	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
MCM4	ENSG00000104738	ENST00000519170	protein_coding	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
MCM4	ENSG00000104738	ENST00000520637	protein_coding	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
MCM4	ENSG00000104738	ENST00000520934	retained_intron	0	0	0	20	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	18
MCM4	ENSG00000104738	ENST00000520994	retained_intron	0	0	0	20	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	18
MCM4	ENSG00000104738	ENST00000523944	protein_coding	0	0	1	19	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	18
MCM4	ENSG00000104738	ENST00000524086	nonsense_mediated_decay	0	0	1	19	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	18
MEIG1	ENSG00000197889	ENST00000407572	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MEIG1	ENSG00000197889	ENST00000477770	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MEIG1	ENSG00000197889	ENST00000496225	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MPP1	ENSG00000130830	ENST00000369534	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPP1	ENSG00000130830	ENST00000393531	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPP1	ENSG00000130830	ENST00000413259	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPP1	ENSG00000130830	ENST00000439370	nonsense_mediated_decay	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPP1	ENSG00000130830	ENST00000482757	retained_intron	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPP1	ENSG00000130830	ENST00000491955	retained_intron	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD1	ENSG00000100714	ENST00000216605	protein_coding	2	18	17	50	0	0	0	0	0	50	17	0	0	0	1	0	5	1	0	0	14	5
MTHFD1	ENSG00000100714	ENST00000545908	protein_coding	2	18	18	49	0	0	0	0	0	50	18	0	0	0	1	0	5	1	0	0	14	4
MTHFD1	ENSG00000100714	ENST00000553391	processed_transcript	0	0	0	24	0	0	0	10	0	7	0	4	0	0	0	0	0	0	0	0	0	3
MTHFD1	ENSG00000100714	ENST00000553405	retained_intron	1	1	0	42	0	0	0	12	0	16	0	11	0	0	1	0	1	0	0	0	0	5
MTHFD1	ENSG00000100714	ENST00000554057	processed_transcript	0	0	0	25	0	0	0	5	0	8	0	5	0	0	0	0	0	0	0	0	0	7
MTHFD1	ENSG00000100714	ENST00000554353	retained_intron	0	0	0	13	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10
MTHFD1	ENSG00000100714	ENST00000554677	retained_intron	0	1	0	35	0	0	0	16	0	7	0	6	0	0	0	0	1	0	0	0	0	7
MTHFD1	ENSG00000100714	ENST00000554739	protein_coding	0	1	0	18	0	0	3	9	0	2	0	0	0	0	0	0	0	0	0	0	1	4
MTHFD1	ENSG00000100714	ENST00000554768	protein_coding	0	1	0	18	0	0	3	9	0	2	0	0	0	0	0	0	0	0	0	0	1	4
MTHFD1	ENSG00000100714	ENST00000555252	retained_intron	0	2	0	64	0	0	0	18	0	27	0	17	0	0	0	0	2	0	0	0	0	4
MTHFD1	ENSG00000100714	ENST00000555709	protein_coding	0	3	4	12	0	0	0	6	0	2	4	0	0	0	0	0	0	0	0	0	3	4
MTHFD1	ENSG00000100714	ENST00000555858	retained_intron	0	0	0	28	0	0	0	18	0	1	0	2	0	0	0	0	0	0	0	0	0	7
MTHFD1	ENSG00000100714	ENST00000556284	processed_transcript	0	2	0	23	0	0	0	0	0	8	0	8	0	0	0	0	2	0	0	0	0	9
MTHFD1	ENSG00000100714	ENST00000556771	retained_intron	1	0	0	33	0	0	0	8	0	6	0	13	0	0	1	0	0	0	0	0	0	7
MTHFD1	ENSG00000100714	ENST00000557370	protein_coding	1	5	2	17	1	0	0	3	0	5	2	0	0	0	0	0	2	1	0	0	4	9
MTHFD1	ENSG00000100714	ENST00000557539	protein_coding	0	1	1	17	0	0	2	8	0	2	1	0	0	0	0	0	0	0	0	0	1	5
MTR	ENSG00000116984	ENST00000366576	protein_coding	1	6	14	55	3	0	0	0	0	51	14	0	0	0	0	1	2	0	0	0	4	4
MTR	ENSG00000116984	ENST00000366577	protein_coding	10	148	27	88	3	0	1	0	0	81	21	0	8	140	0	2	4	0	0	0	10	9
MTR	ENSG00000116984	ENST00000418145	protein_coding	0	1	2	29	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	1	9
MTR	ENSG00000116984	ENST00000463959	processed_transcript	1	3	0	72	0	0	0	3	0	46	0	17	0	0	0	1	3	0	0	0	0	10
MTR	ENSG00000116984	ENST00000470570	processed_transcript	0	0	0	19	0	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	3
MTR	ENSG00000116984	ENST00000535889	protein_coding	7	138	25	91	3	0	0	0	0	84	19	0	5	131	0	2	4	0	0	0	9	10
NBN	ENSG00000104320	ENST00000265433	protein_coding	3	40	10	25	0	0	3	0	0	23	10	0	0	33	0	2	3	1	0	0	5	3
NBN	ENSG00000104320	ENST00000396252	nonsense_mediated_decay	2	3	1	40	15	0	3	0	0	26	1	0	0	0	0	2	3	0	0	0	0	0
NBN	ENSG00000104320	ENST00000409330	protein_coding	3	8	9	26	0	1	1	0	0	23	9	0	0	0	0	2	3	1	0	0	5	6
NBN	ENSG00000104320	ENST00000474821	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NBN	ENSG00000104320	ENST00000494804	retained_intron	0	1	0	20	0	0	0	10	0	3	0	4	0	0	0	0	1	0	0	0	0	4
NBN	ENSG00000104320	ENST00000517337	protein_coding	1	2	2	17	0	1	1	1	0	11	2	0	0	0	0	1	1	0	0	0	0	6
NBN	ENSG00000104320	ENST00000517772	protein_coding	1	1	5	21	0	0	0	1	0	10	5	0	0	0	0	1	0	0	0	0	1	11
NBN	ENSG00000104320	ENST00000519426	protein_coding	2	2	3	21	0	0	1	1	0	17	3	0	0	0	0	2	1	0	0	0	1	5
NBN	ENSG00000104320	ENST00000520325	retained_intron	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1
NBN	ENSG00000104320	ENST00000523444	nonsense_mediated_decay	1	1	1	18	2	0	1	1	0	11	1	0	0	0	0	1	1	0	0	0	0	5
NHEJ1	ENSG00000187736	ENST00000356853	protein_coding	1	26	8	23	5	0	0	0	0	10	8	0	0	22	0	1	1	0	0	0	3	10
NHEJ1	ENSG00000187736	ENST00000409720	protein_coding	1	27	9	21	3	0	0	0	0	9	9	0	0	22	0	1	1	0	0	0	4	11
